Ticker,Data_Count,Completeness_Ratio
AADI.JK,307,0.25604670558799
AMMN.JK,649,0.5412844036697247
MBMA.JK,695,0.5796497080900751
CUAN.JK,721,0.6013344453711427
PGEO.JK,729,0.6080066722268557
GOTO.JK,946,0.7889908256880734
ADMR.JK,1013,0.8448707256046706
AMRT.JK,1199,1.0
BBCA.JK,1199,1.0
BBNI.JK,1199,1.0
BBRI.JK,1199,1.0
BBTN.JK,1199,1.0
BMRI.JK,1199,1.0
BRPT.JK,1199,1.0
AKRA.JK,1199,1.0
ADRO.JK,1199,1.0
CPIN.JK,1199,1.0
BUMI.JK,1199,1.0
EMTK.JK,1199,1.0
DEWA.JK,1199,1.0
ESSA.JK,1199,1.0
EXCL.JK,1199,1.0
HRTA.JK,1199,1.0
ICBP.JK,1199,1.0
INCO.JK,1199,1.0
INDF.JK,1199,1.0
INKP.JK,1199,1.0
ISAT.JK,1199,1.0
ITMG.JK,1199,1.0
JPFA.JK,1199,1.0
ANTM.JK,1199,1.0
ASII.JK,1199,1.0
MAPI.JK,1199,1.0
KLBF.JK,1199,1.0
MEDC.JK,1199,1.0
MDKA.JK,1199,1.0
PGAS.JK,1199,1.0
PTBA.JK,1199,1.0
SCMA.JK,1199,1.0
SMGR.JK,1199,1.0
TLKM.JK,1199,1.0
TOWR.JK,1199,1.0
UNTR.JK,1199,1.0
UNVR.JK,1199,1.0
WIFI.JK,1199,1.0
